date,years_since_19850101,temp_deg_C
1981-01-01,-4.002739726027397,20.7
1981-01-02,-4.0,17.9
1981-01-03,-3.9972602739726026,18.8
1981-01-04,-3.9945205479452053,14.6
1981-01-05,-3.9917808219178084,15.8
1981-01-06,-3.989041095890411,15.8
1981-01-07,-3.9863013698630136,15.8
1981-01-08,-3.9835616438356163,17.4
1981-01-09,-3.9808219178082194,21.8
1981-01-10,-3.978082191780822,20.0
1981-01-11,-3.9753424657534246,16.2
1981-01-12,-3.9726027397260273,13.3
1981-01-13,-3.96986301369863,16.7
1981-01-14,-3.967123287671233,21.5
1981-01-15,-3.9643835616438357,25.0
1981-01-16,-3.9616438356164383,20.7
1981-01-17,-3.958904109589041,20.6
1981-01-18,-3.956164383561644,24.8
1981-01-19,-3.9534246575342467,17.7
1981-01-20,-3.9506849315068493,15.5
1981-01-21,-3.947945205479452,18.2
1981-01-22,-3.9452054794520546,12.1
1981-01-23,-3.9424657534246577,14.4
1981-01-24,-3.9397260273972603,16.0
1981-01-25,-3.936986301369863,16.5
1981-01-26,-3.9342465753424656,18.7
1981-01-27,-3.9315068493150687,19.4
1981-01-28,-3.9287671232876713,17.2
1981-01-29,-3.926027397260274,15.5
1981-01-30,-3.9232876712328766,15.1
1981-01-31,-3.9205479452054797,15.4
1981-02-01,-3.9178082191780823,15.3
1981-02-02,-3.915068493150685,18.8
1981-02-03,-3.9123287671232876,21.9
1981-02-04,-3.9095890410958902,19.9
1981-02-05,-3.9068493150684933,16.6
1981-02-06,-3.904109589041096,16.8
1981-02-07,-3.9013698630136986,14.6
1981-02-08,-3.8986301369863012,17.1
1981-02-09,-3.8958904109589043,25.0
1981-02-10,-3.893150684931507,15.0
1981-02-11,-3.8904109589041096,13.7
1981-02-12,-3.8876712328767122,13.9
1981-02-13,-3.884931506849315,18.3
1981-02-14,-3.882191780821918,22.0
1981-02-15,-3.8794520547945206,22.1
1981-02-16,-3.8767123287671232,21.2
1981-02-17,-3.873972602739726,18.4
1981-02-18,-3.871232876712329,16.6
1981-02-19,-3.8684931506849316,16.1
1981-02-20,-3.8657534246575342,15.7
1981-02-21,-3.863013698630137,16.6
1981-02-22,-3.8602739726027395,16.5
1981-02-23,-3.8575342465753426,14.4
1981-02-24,-3.8547945205479452,14.4
1981-02-25,-3.852054794520548,18.5
1981-02-26,-3.8493150684931505,16.9
1981-02-27,-3.8465753424657536,17.5
1981-02-28,-3.8438356164383563,21.2
1981-03-01,-3.841095890410959,17.8
1981-03-02,-3.8383561643835615,18.6
1981-03-03,-3.835616438356164,17.0
1981-03-04,-3.8328767123287673,16.0
1981-03-05,-3.83013698630137,13.3
1981-03-06,-3.8273972602739725,14.3
1981-03-07,-3.824657534246575,11.4
1981-03-08,-3.8219178082191783,16.3
1981-03-09,-3.819178082191781,16.1
1981-03-10,-3.8164383561643835,11.8
1981-03-11,-3.813698630136986,12.2
1981-03-12,-3.8109589041095893,14.7
1981-03-13,-3.808219178082192,11.8
1981-03-14,-3.8054794520547945,11.3
1981-03-15,-3.802739726027397,10.6
1981-03-16,-3.8,11.7
1981-03-17,-3.797260273972603,14.2
1981-03-18,-3.7945205479452055,11.2
1981-03-19,-3.791780821917808,16.9
1981-03-20,-3.789041095890411,16.7
1981-03-21,-3.786301369863014,8.1
1981-03-22,-3.7835616438356166,8.0
1981-03-23,-3.780821917808219,8.8
1981-03-24,-3.778082191780822,13.4
1981-03-25,-3.7753424657534245,10.9
