website_name,text
amazon,Oh and I forgot to also mention the weird color effect it has on your phone.
amazon,THAT one didn't work either.
amazon,Waste of 13 bucks.
amazon,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with."
amazon,None of the three sizes they sent with the headset would stay in my ears.
amazon,Worst customer service.
amazon,The Ngage is still lacking in earbuds.
amazon,It always cuts out and makes a beep beep beep sound then says signal failed.
amazon,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!
amazon,Very disappointed in AccessoryOne.
amazon,Basically the service was very bad.
amazon,Bad Choice.
amazon,The only thing that disappoint me is the infra red port (irda).
amazon,"horrible, had to switch 3 times."
amazon,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them."
amazon,Don't make the same mistake I did.
amazon,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off."
amazon,I advise EVERYONE DO NOT BE FOOLED!
amazon,Doesn't hold charge.
amazon,What a waste of time!
amazon,I'm very disappointed with my decision.
amazon,"I also didn't like the ""on"" button, it felt like it would crack with use."
amazon,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
amazon,We have tried 2 units and they both failed within 2 months.. Pros
amazon,Also difficult to put on.I'd recommend avoiding this product.
amazon,$50 Down the drain.
amazon,Absolutel junk.
amazon,Can't store anything but phone numbers to SIM.
amazon,Very disappointing.
amazon,I would not recommend this item to anyone.
amazon,Big Disappointment with calendar sync.
amazon,Not impressed.
amazon,Just does not work.
amazon,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
amazon,"Plus, I seriously do not believe it is worth its steep price point."
amazon,In my house I was getting dropped coverage upstairs and no coverage in my basement.
amazon,The phone takes FOREVER to charge like 2 to 5 hours literally.
amazon,Very unreliable service from T-mobile !
amazon,[...] down the drain because of a weak snap!
amazon,"This is a simple little phone to use, but the breakage is unacceptible."
amazon,Pretty piece of junk.
amazon,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
amazon,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
amazon,This is the first phone I've had that has been so cheaply made.
amazon,Awkward to use and unreliable.
amazon,Horrible phone.
amazon,"If you are looking for a good quality Motorola Headset keep looking, this isn't it."
amazon,"My father has the V265, and the battery is dying."
amazon,After a year the battery went completely dead on my headset.
amazon,Defective crap.
amazon,Poor Construction.
amazon,They work about 2 weeks then break.
amazon,Could not get strong enough signal.
amazon,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good"
amazon,Excellent starter wireless headset.
amazon,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call."
amazon,BT50 battery junk!.
amazon,The design might be ergonomic in theory but I could not stand having these in my ear.
amazon,camera color balance is AWFUL.
amazon,It dit not work most of the time with my Nokia 5320.
amazon,"Looks good in the picture, but this case was a huge disappointment!!"
amazon,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
amazon,Plug was the wrong size.
amazon,the phone was unusable and was not new.
amazon,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing."
amazon,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out."
amazon,poor quality and service.
amazon,Poor product.
amazon,I'm a bit disappointed.
amazon,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.
amazon,There's a horrible tick sound in the background on all my calls that I have never experienced before.
amazon,"The design is very odd, as the ear ""clip"" is not very comfortable at all."
amazon,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr)."
amazon,dont buy it.
amazon,So there is no way for me to plug it in here in the US unless I go by a converter.
amazon,Soyo technology sucks.
amazon,doesn't last long.
amazon,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!
amazon,Poorly contstruct hinge.
amazon,Think it over when you plan to own this one!This sure is the last MOTO phone for me!
amazon,Problem is that the ear loops are made of weak material and break easily.
amazon,"The bottowm line...another worthless, cheap gimmick from Sprint."
amazon,This pair of headphones is the worst that I have ever had sound-wise.
amazon,"Att is not clear, sound is very distorted and you have to yell when you talk."
amazon,i would advise to not purchase this item it never worked very well.
amazon,It doesn't make you look cool.
amazon,"Bought mainly for the charger, which broke soon after purchasing."
amazon,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while."
amazon,There's really nothing bad I can say about this headset.
amazon,We are sending it back.
amazon,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
amazon,Unreliable - I'm giving up.
amazon,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part."
amazon,It was a waste of my money.
amazon,don't waste your money and time.
amazon,Due to this happening on every call I was forced to stop using this headset.
amazon,I checked everywhere and there is no feature for it which is really disappointing.
amazon,Does not fit.
amazon,I'll be looking for a new earpiece.
amazon,"However, the keypads are so tinny that I sometimes reach the wrong buttons."
amazon,Unfortunately it did not work.
amazon,Couldn't figure it out
amazon,Worst software ever used.... If I could give this zero stars I would.
amazon,Lousy product.
amazon,Lasted one day and then blew up.
amazon,I bought it for my mother and she had a problem with the battery.
amazon,I was not impressed by this product.
amazon,Not enough volume.
amazon,Buyer--Be Very Careful!!!!!.
amazon,Were JERKS on the phone.
amazon,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost."
amazon,Disapointing Results.
amazon,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.
amazon,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
amazon,You get what you pay for I guess.
amazon,Bad Quality.
amazon,It's not what it says it is.
amazon,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
amazon,"All in all, I'd expected a better consumer experience from Motorola."
amazon,Sending it back.
amazon,Everything about this product is wrong.First
amazon,"It is cheap, and it feel and look just as cheap."
amazon,After receiving and using the product for just 2 days it broke.
amazon,Phone falls out easily.
amazon,The first thing that happened was that the tracking was off.
amazon,Linksys should have some way to exchange a bad phone for a refurb unit or something!
amazon,"A must study for anyone interested in the ""worst sins"" of industrial design."
amazon,The BT headset was such a disapoinment.
amazon,"I have had this phone for over a year now, and I will tell you, its not that great."
amazon,What a piece of junk.. I lose more calls on this phone.
amazon,Doesn't work at all.. I bougth it for my L7c and its not working.
amazon,very disappointed.
amazon,Earbud piece breaks easily.
amazon,"I can barely ever hear on it and am constantly saying ""what?"""
amazon,It doesn't work in Europe or Asia.
amazon,I ordered this product first and was unhappy with it immediately.
amazon,I'm really disappointed all I have now is a charger that doesn't work.
amazon,"Horrible, horrible protector."
amazon,Rip off---- Over charge shipping.
amazon,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.
amazon,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
amazon,Piece of Junk.
amazon,The case is a flimsy piece of plastic and has no front or side protection whatsoever.
amazon,The battery is completely useless to me.
amazon,"The biggest complaint I have is, the battery drains superfast."
amazon,So I had to take the battery out of the phone put it all back together and then restart it.
amazon,Bad Purchase.
amazon,It was horrible!.
amazon,"Perhaps my phone is defective, but people cannot hear me when I use this."
amazon,"Not only will it drain your player, but may also potentially fry it."
amazon,Improper description.... I had to return it.
amazon,Cant get the software to work with my computer.
amazon,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
amazon,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3."
amazon,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently."
amazon,The commercials are the most misleading.
amazon,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack."
amazon,I don't think it would hold it too securly on your belt.
amazon,It makes very strange ticking noises before it ends the call.
amazon,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.
amazon,Piece of trash.
amazon,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.
amazon,Then a few days later the a puff of smoke came out of the phone while in use.
amazon,"Then I exchanged for the same phone, even that had the same problem."
amazon,Cumbersome design.
amazon,All three broke within two months of use.
amazon,One thing I hate is the mode set button at the side.
amazon,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop."
amazon,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution."
amazon,The screen does get smudged easily because it touches your ear and face.
amazon,Item Does Not Match Picture.
amazon,DO NOT BUY DO NOT BUYIT SUCKS
amazon,Doesn't Work.
amazon,Sprint charges for this service.
amazon,I am not impressed with this and i would not recommend this item to anyone.
amazon,This is essentially a communications tool that does not communicate.
amazon,"stay away from this store, be careful."
amazon,It's A PIECE OF CRAP!
amazon,"sucked, most of the stuff does not work with my phone."
amazon,Adapter does not provide enough charging current.
amazon,Talk about USELESS customer service.
amazon,What a big waste of time.
amazon,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
amazon,You also cannot take pictures with it in the case because the lense is covered.
amazon,Don't make the same mistake that I did and please don't buy this phone.
amazon,The construction of the headsets is poor.
amazon,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
amazon,"No additional ear gels provided, and no instructions whatsoever."
amazon,Echo Problem....Very unsatisfactory
amazon,These products cover up the important light sensor above the ear outlet.
amazon,And none of the tones is acceptable.
amazon,don't waste your money.
amazon,This is infuriating.
amazon,"The loudspeaker option is great, the bumpers with the lights is very ... appealing."
amazon,It clicks into place in a way that makes you wonder how long that mechanism would last.
amazon,I found this product to be waaay too big.
amazon,The instructions didn't explain that a microphone jack could be used.
amazon,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV)."
amazon,You have to hold the phone at a particular angle for the other party to hear you clearly.
amazon,Can't upload ringtones from a third party.
amazon,Do not make the same mistake as me.
amazon,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone."
amazon,Not worth it.
amazon,you could only take 2 videos at a time and the quality was very poor.
amazon,If you plan to use this in a car forget about it.
amazon,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything."
amazon,Battery has no life.
amazon,"The internet access was fine, it the rare instance that it worked."
amazon,"Saggy, floppy piece of junk."
amazon,wont work right or atleast for me.
amazon,Don't waste your $$$ on this one.
amazon,"Audio Quality is poor, very poor."
amazon,I've missed numerous calls because of this reason.
amazon,The item received was Counterfeit.
amazon,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
amazon,"First off the reception sucks, I have never had more than 2 bars, ever."
amazon,Don't bother - go to the store.
amazon,VERY DISAPPOINTED.
amazon,Kind of flops around.
amazon,The pleather case doesn't fit.
amazon,No real improvement.
amazon,Truly awful.
amazon,I've bought $5 wired headphones that sound better than these.
amazon,"As an earlier review noted, plug in this charger and nothing happens."
amazon,AFter the first charge kept going dead after 12 minutes.
amazon,I does not maintain a connection with the computer while it is on my lap.
amazon,Disappointment.. I hate anything that goes in my ear.
amazon,Warning - Stay away.
amazon,Very Dissapointing Performance.
amazon,Do NOT buy if you want to use the holster.
amazon,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple."
amazon,Chinese Forgeries Abound!.
