user_id,item_id,rating
772,36,3
471,228,5
641,401,4
312,98,4
58,504,5
235,727,5
285,266,4
451,513,4
436,661,5
101,648,3
4,229,3
159,174,4
832,1141,4
53,544,3
755,471,3
886,1049,4
931,574,2
641,582,4
585,181,3
853,456,3
439,359,5
518,325,4
109,10,4
624,143,4
663,526,5
803,652,3
730,601,5
898,27,5
333,512,4
253,14,3
188,245,4
502,751,1
787,131,5
649,161,3
129,1242,4
398,341,2
489,513,3
715,612,4
896,431,4
605,172,5
212,54,5
628,85,5
921,152,4
816,257,3
853,533,3
535,384,4
756,100,4
268,854,5
401,469,4
55,1072,3
931,154,3
319,544,4
331,566,4
587,415,5
392,408,4
920,326,5
23,57,3
547,117,5
781,259,2
866,472,5
576,557,3
367,97,3
103,589,4
880,1026,3
571,287,3
797,72,4
311,95,5
620,399,1
101,238,3
839,640,4
556,1242,2
346,691,5
338,28,3
462,2,2
571,120,2
566,606,4
736,46,3
432,356,2
603,439,2
114,469,2
471,203,5
580,126,5
486,248,1
197,977,5
710,959,5
188,131,5
453,490,3
762,939,3
456,529,5
42,11,5
262,143,4
832,149,3
311,484,5
586,890,3
551,110,3
101,544,3
91,158,4
781,536,4
876,324,4
372,1077,4
784,55,4
652,777,1
329,94,5
245,1071,4
341,31,5
659,190,4
165,313,3
846,78,4
188,175,4
441,238,3
718,236,2
388,196,5
377,1051,3
500,843,3
388,281,5
560,403,2
9,179,5
513,0,5
707,302,4
715,204,5
408,174,4
589,862,1
302,326,3
444,601,3
89,274,4
312,495,4
492,271,4
733,703,4
454,267,4
270,703,4
84,159,3
746,302,4
194,751,3
206,254,3
885,556,3
737,406,5
229,496,5
428,473,4
247,126,5
845,131,5
201,190,2
638,278,3
626,1,3
273,116,4
830,311,5
404,437,1
144,16,3
294,939,4
740,30,3
496,216,4
117,54,5
884,1219,3
806,203,4
475,653,4
500,1095,5
285,143,3
908,273,5
127,180,4
188,281,5
29,890,4
449,271,3
350,988,5
275,1133,4
311,505,5
933,524,2
585,798,3
329,62,3
561,509,2
233,768,4
278,554,3
80,146,4
757,68,5
12,346,2
98,106,3
89,177,5
591,818,3
274,302,3
163,221,4
192,326,3
532,108,2
542,459,3
222,276,4
183,460,4
386,31,5
505,713,2
671,267,3
223,947,3
808,320,3
21,201,5
220,1435,3
290,95,4
404,430,3
25,147,3
591,595,2
462,1115,1
307,180,4
642,408,4
756,37,3
917,505,5
896,183,4
665,207,3
888,491,3
523,821,4
315,705,4
532,236,2
536,679,1
360,792,3
878,1045,2
682,55,5
341,296,3
11,190,5
719,270,4
653,257,4
243,939,4
404,1410,1
268,55,5
362,171,5
567,131,2
850,124,4
384,614,4
296,56,5
926,55,4
641,754,5
732,243,2
869,171,4
175,261,4
480,657,5
536,193,3
704,27,4
786,747,4
757,61,2
212,476,5
206,653,4
25,274,4
243,778,4
446,557,3
846,761,1
933,659,4
327,425,3
84,82,4
313,695,3
876,273,4
243,944,4
6,679,1
180,324,1
911,1039,4
879,808,3
494,766,3
200,217,4
649,476,4
193,415,2
724,326,4
258,269,3
421,221,4
88,692,5
756,401,4
505,269,4
909,253,1
592,143,4
652,1063,1
846,730,4
115,877,2
747,192,3
486,11,5
663,447,2
12,520,5
547,544,4
297,126,5
793,453,4
660,188,4
268,123,5
617,126,5
345,316,5
478,286,3
558,685,3
53,674,5
12,273,3
292,778,3
499,15,4
221,410,1
879,1051,3
396,21,4
880,566,4
91,618,3
585,649,3
734,105,3
356,926,4
379,431,3
633,123,3
882,428,5
879,781,1
206,365,3
587,270,5
428,6,2
456,196,5
23,108,3
535,30,3
793,220,4
397,512,4
368,946,2
279,227,3
678,708,4
17,607,4
505,9,2
351,88,5
89,116,3
291,509,5
822,216,3
455,446,3
55,227,3
292,178,4
84,97,4
523,476,3
185,544,4
671,224,2
194,634,2
176,174,5
150,14,4
342,186,4
627,299,4
213,190,4
233,235,3
652,55,5
512,251,5
636,813,2
238,526,5
373,391,4
876,13,5
400,607,3
377,649,4
576,397,4
886,417,2
560,717,1
59,59,5
550,778,5
180,1250,1
665,31,4
6,663,4
654,897,2
576,580,4
313,475,3
534,281,4
106,319,2
386,55,5
859,267,2
292,175,4
550,89,1
242,25,3
408,273,4
300,740,4
238,161,5
182,226,4
923,172,5
326,505,4
628,878,4
153,943,3
406,162,3
398,397,3
150,197,4
563,829,3
523,479,4
381,170,3
822,55,5
289,63,4
555,292,2
404,1590,1
762,464,4
403,681,4
91,188,4
939,115,2
415,1134,4
902,78,4
645,345,2
733,173,4
773,116,2
424,123,2
382,80,4
803,580,3
696,740,3
724,292,3
781,1613,3
260,244,4
12,745,4
221,316,5
457,128,4
803,753,3
904,456,4
585,549,2
124,215,3
827,700,2
885,504,4
812,888,4
351,78,4
693,193,5
635,8,3
494,1108,4
468,493,5
915,225,3
714,226,3
696,687,4
96,482,3
714,155,4
542,84,2
203,266,3
410,601,5
421,216,3
329,471,4
291,652,5
814,142,5
473,212,4
636,224,3
599,371,3
353,526,5
166,1145,4
542,146,4
24,7,4
346,257,4
24,425,4
867,431,4
449,48,5
600,1061,3
213,300,4
124,110,3
225,273,3
406,194,4
763,741,1
342,3,5
748,421,4
36,209,4
216,182,3
238,310,2
550,37,1
536,461,3
235,417,5
291,264,4
496,453,4
199,292,4
506,676,5
417,344,2
914,284,4
522,55,3
35,267,3
404,666,1
931,1447,5
84,749,3
594,234,3
12,775,1
605,134,5
582,661,4
420,3,3
319,595,3
907,481,4
433,117,5
587,30,3
270,688,4
665,215,3
451,190,5
806,207,4
465,116,5
271,182,4
288,740,4
331,173,5
850,249,5
424,1087,2
881,214,5
893,256,3
89,148,3
471,574,5
345,182,4
620,106,4
740,203,4
505,401,4
69,449,4
553,219,3
292,167,4
534,787,2
681,257,3
61,195,4
806,413,3
513,390,4
94,1225,2
861,1091,5
221,893,4
398,167,3
400,319,2
478,184,4
118,51,3
372,840,3
93,584,1
522,872,4
108,174,1
845,71,4
229,204,3
196,877,4
861,433,5
390,542,4
180,931,1
633,1065,4
449,1488,3
17,734,4
789,88,4
390,495,3
355,329,3
238,203,3
266,228,4
179,234,4
615,284,5
342,473,5
457,515,4
713,251,3
473,480,3
877,87,4
292,504,5
455,1055,3
623,740,4
744,221,2
460,1004,5
357,257,4
335,386,1
923,227,4
12,461,5
863,213,2
621,548,4
467,283,4
401,274,5
772,175,4
396,11,4
453,1033,3
551,284,4
273,1061,4
275,315,4
20,563,3
527,172,5
766,430,5
159,323,3
787,67,3
893,885,4
509,323,1
924,786,3
148,326,2
338,6,4
863,175,5
683,37,3
42,230,4
129,1037,4
646,196,5
634,267,5
659,442,2
935,256,3
428,127,3
200,1419,3
307,496,5
98,973,3
503,97,5
48,1075,4
658,187,3
20,593,3
