user_id,item_id,rating
503,204,
795,185,
42,403,
327,740,
285,98,
279,11,
496,588,
499,266,
357,126,
932,182,
821,430,
215,256,
667,309,
0,113,
881,930,
94,384,
395,404,
681,292,
467,213,
536,425,
248,175,
177,130,
541,788,
751,688,
60,676,
196,209,
150,423,
692,289,
846,94,
333,503,
882,29,
248,49,
150,229,
845,1,
345,710,
3,269,
150,937,
541,583,
10,289,
416,418,
284,284,
902,407,
406,272,
454,196,
347,106,
895,468,
467,473,
108,177,
552,659,
275,352,
787,0,
483,649,
620,582,
552,21,
188,845,
591,461,
84,270,
771,877,
406,188,
781,257,
591,290,
565,135,
561,193,
296,96,
454,192,
327,299,
427,986,
330,733,
405,785,
150,626,
101,749,
179,152,
55,231,
567,1123,
786,244,
912,287,
553,864,
24,966,
758,589,
935,453,
503,771,
587,97,
310,49,
770,113,
151,142,
446,735,
532,818,
199,399,
565,386,
232,192,
398,1040,
346,316,
0,167,
57,509,
150,1037,
294,160,
304,790,
665,47,
673,287,
505,878,
891,80,
726,143,
898,95,
859,272,
416,382,
609,286,
916,120,
906,1117,
415,72,
877,136,
639,768,
388,132,
496,1553,
416,173,
832,261,
428,533,
534,486,
471,390,
659,1137,
279,417,
188,1019,
478,201,
221,1009,
84,480,
746,724,
478,197,
560,700,
696,234,
938,117,
757,251,
681,187,
513,23,
408,287,
672,326,
663,511,
797,354,
46,302,
271,200,
507,175,
879,139,
746,460,
591,330,
575,469,
45,49,
480,152,
405,488,
480,206,
116,929,
270,862,
451,779,
494,614,
404,21,
842,73,
808,313,
505,171,
191,946,
557,281,
896,167,
444,877,
174,627,
392,1072,
415,252,
647,192,
714,230,
762,229,
300,418,
17,390,
553,8,
514,685,
353,601,
925,267,
225,478,
210,526,
646,135,
424,1414,
891,766,
484,750,
458,284,
811,298,
773,185,
183,299,
873,746,
598,1012,
477,95,
286,344,
533,1052,
560,377,
417,331,
858,110,
390,326,
547,280,
292,378,
517,125,
285,283,
825,182,
746,7,
559,249,
127,1037,
644,746,
918,22,
663,316,
310,135,
251,123,
863,539,
15,937,
194,326,
296,750,
506,256,
794,149,
893,902,
351,566,
55,70,
148,336,
488,356,
775,605,
618,256,
588,305,
715,443,
523,659,
607,505,
157,19,
351,99,
275,195,
307,171,
746,1244,
150,257,
206,271,
169,258,
841,267,
884,449,
733,311,
129,217,
57,222,
895,273,
274,68,
114,1071,
473,296,
333,1168,
505,227,
845,39,
325,53,
298,303,
660,229,
509,242,
194,649,
285,365,
193,76,
5,88,
505,331,
180,1066,
390,496,
881,226,
866,195,
453,314,
159,78,
748,656,
692,1309,
681,53,
404,1389,
497,1005,
603,97,
371,78,
661,589,
769,473,
619,1217,
236,190,
788,1010,
106,257,
320,629,
625,680,
167,470,
663,640,
105,658,
879,946,
224,284,
6,377,
58,609,
605,240,
93,53,
275,821,
713,236,
331,274,
798,304,
878,49,
404,1572,
710,240,
590,236,
804,517,
394,185,
266,447,
373,930,
41,411,
72,586,
61,7,
229,6,
55,433,
187,99,
197,78,
89,480,
136,248,
19,251,
270,519,
310,721,
488,310,
362,697,
377,154,
351,97,
617,417,
233,1196,
307,1045,
681,1186,
195,690,
326,548,
213,1015,
839,194,
845,621,
448,1402,
885,708,
861,131,
481,313,
378,201,
626,227,
249,525,
473,1284,
405,608,
359,481,
654,972,
938,281,
895,354,
900,407,
405,673,
88,149,
545,320,
357,131,
404,365,
757,92,
337,477,
448,247,
864,499,
746,12,
378,635,
697,419,
275,1168,
737,120,
304,1102,
870,350,
416,470,
247,180,
450,885,
697,485,
292,90,
704,544,
753,254,
120,425,
235,292,
200,1135,
536,1333,
206,300,
903,760,
356,120,
540,224,
888,0,
10,745,
737,78,
803,228,
249,97,
364,107,
349,652,
144,947,
204,314,
160,99,
465,897,
411,406,
485,286,
677,330,
255,126,
451,186,
91,24,
514,257,
292,364,
24,602,
473,324,
104,331,
84,479,
183,19,
279,313,
243,171,
867,135,
879,769,
39,244,
485,474,
74,831,
642,202,
69,81,
918,332,
377,684,
320,1329,
159,626,
926,1087,
885,481,
604,676,
56,150,
94,504,
863,594,
605,425,
388,177,
143,645,
233,617,
12,261,
697,425,
752,194,
59,8,
481,326,
699,221,
108,292,
372,478,
12,49,
758,180,
670,22,
388,80,
795,212,
434,215,
773,126,
878,274,
223,467,
917,745,
449,708,
242,214,
250,292,
270,171,
452,236,
930,676,
895,0,
748,807,
921,70,
685,88,
525,49,
895,264,
250,593,
343,57,
567,770,
238,338,
481,284,
84,391,
298,317,
717,280,
544,561,
40,97,
842,70,
428,92,
524,180,
639,133,
748,22,
63,30,
748,104,
512,321,
591,195,
409,688,
388,1072,
175,268,
568,674,
500,404,
781,1526,
298,809,
566,174,
532,425,
205,1392,
295,694,
639,32,
398,139,
206,714,
683,99,
302,154,
377,51,
619,430,
93,271,
218,3,
372,267,
466,108,
141,242,
787,421,
524,595,
275,345,
363,988,
325,182,
748,835,
879,421,
920,536,
926,14,
837,142,
795,217,
659,94,
869,661,
591,188,
558,526,
437,14,
550,745,
243,308,
286,266,
190,299,
670,449,
795,1030,
890,311,
116,213,
342,37,
458,251,
614,705,
206,733,
366,184,
761,268,
326,473,
496,414,
14,929,
5,514,
200,1218,
898,472,
335,49,
144,446,
275,172,
62,589,
441,11,
585,214,
58,14,
838,1083,
532,229,
501,348,
43,21,
734,6,
638,517,
925,261,
400,564,
86,229,
827,900,
476,737,
473,131,
307,44,
432,172,
660,215,
653,737,
327,1481,
10,522,
375,236,
804,196,
931,1182,
361,334,
118,544,
759,182,
693,117,
33,310,
82,927,
88,714,
787,1476,
320,477,
447,269,
69,676,
734,99,
169,290,
181,843,
51,286,
293,1197,
47,131,
262,919,
578,49,
665,476,
446,296,
193,433,
835,601,
2,270,
294,417,
89,310,
560,196,
653,86,
15,441,
222,337,
881,264,
531,631,
427,338,
384,191,
350,284,
605,78,
379,212,
499,727,
434,1101,
537,142,
180,1350,
298,178,
842,635,
565,11,
419,115,
