item_id,title,release_year,orig_item_id
0,Toy Story (1995),1995,1
70,"Lion King, The (1994)",1994,71
98,Snow White and the Seven Dwarfs (1937),1937,99
131,"Wizard of Oz, The (1939)",1939,132
142,"Sound of Music, The (1965)",1965,143
49,Star Wars (1977),1977,50
171,"Empire Strikes Back, The (1980)",1980,172
180,Return of the Jedi (1983),1997,181
81,Jurassic Park (1993),1993,82
251,"Lost World: Jurassic Park, The (1997)",1997,252
173,Raiders of the Lost Ark (1981),1981,174
209,Indiana Jones and the Last Crusade (1989),1989,210
65,While You Were Sleeping (1995),1995,66
87,Sleepless in Seattle (1993),1993,88
254,My Best Friend's Wedding (1997),1997,255
90,"Nightmare Before Christmas, The (1993)",1993,91
199,"Shining, The (1980)",1980,200
218,"Nightmare on Elm Street, A (1984)",1984,219
286,Scream (1996),1996,288
893,Scream 2 (1997),1997,895
